vendor_id,vendor_name,address,postal_code,city,country,email,bank_country,currency,vat_number,iban,bic,bank_account_number,bank_code,bank_name,company_entity,group,owner,belgian_number,payment_terms,norwegian_bankgiro_number,vendor_name_1
E81458556,REG. MERCANTILES DE BARCELONA,"Avenida de la Libertad, 44",28046,Valencia,Spain,,,,R72384592,AT732011140338268501,,,,Apex Community Bank,ES,Suppliers,,,,,
ESA28017895,EL CORTES INGLÉS,Dom. Xochimilco,28009,Sevilla,Spain,,,,WQZ48917542,AT732011140338268501,,,,Bayside Credit Union,ES,Suppliers,,,,,
ESA28017895,EL CORTES INGLÉS,Dom. Xochimilco,28009,Sevilla,Spain,,,,WQZ48917542,DK4220005905827564,,,,Bayside Credit Union,ES,Suppliers,,,,,
FR86818353070,ALAN S.A.,117 Rue de la Paix,75010,Rome,France,,,,IT77823650981,DK4220005905827564,,,,Summit Financial Trust,ES,Suppliers,,,,,
FR86818353070,ALAN S.A.,117 Rue de la Paix,75010,Rome,France,,,,IT77823650981,ES0300490007232611932301,,,,Summit Financial Trust,ES,Suppliers,,,,,
ATU69983609,bgood GmbH Solutions,Löwenstrasse 19/7,AT-1060,Zurich,Austria,,Austria,EUR,BEU38723156,ES0321008953362200045968,,,,Colonial Reserve Bank,ES,Suppliers,,,,,
DK26092183,DUSTIN TECH A/S,"Frederik Parkvej, 27",8260,Brussels,Denmark,,Denmark,DKK,SW74308274,ES0401822329980201513245,,,,Sunset Reserve Bank,ES,Suppliers,,,,,
A28582393,Estación Central de Chamartín,"Calle del Mar, 31",28036,Valencia,Spain,,Spain,EUR,C39287356,ES0520855975740330011784,,,,True North Bank,ES,Suppliers,,,,,
B19236181,Estación Central de Chamartín,"Calle del Mar, 31",19209,Córdoba,Spain,,Spain,EUR,X68247391,ES0520855975740330011784,,,,True North Bank,ES,Suppliers,,,,,
B19236181,DEVAL ROTULOS Y BUZONES,"Plaza de los Santos, 10",19209,Córdoba,Spain,,Spain,EUR,X68247391,ES0520950302708200848723,,,,People's Savings Bank,ES,Suppliers,,,,,
A86069465,DEVAL ROTULOS Y BUZONES,"Plaza de los Santos, 10",28004,Sevilla,Spain,,Spain,EUR,D27184658,ES0520950302708200848723,,,,Paramount Reserve Bank,ES,Suppliers,,,,,
A86069465,PETIT PALACE MADRID SANTA BARBARA,"Riera de los Valles, Nº 46, 4º 2ª",28004,Sevilla,Spain,,Spain,EUR,D27184658,ES0601280407810100011907,,,,Paramount Reserve Bank,ES,Suppliers,,,,,
16619651-N,PETIT PALACE MADRID SANTA BARBARA,"Riera de los Valles, Nº 46, 4º 2ª",8028,Granada,Spain,,Spain,EUR,45298371-M,ES0800810131520001183223,,,,Capital City Bank,ES,Suppliers,,,,,
16619651-N,LAURA SACRISTÁN MORENO,Calle del Sol 5-4D,8028,Granada,Spain,,Spain,EUR,45298371-M,ES0800810131520001183223,,,,Capital City Bank,ES,Suppliers,,,,,
45916689H,LAURA SACRISTÁN MORENO,Calle del Sol 5-4D,48920,Santander,Spain,,Spain,EUR,90743251A,ES0800810356160001444852,BASKES2B,,,Capital City Bank,ES,Suppliers,,,,,
45916689H,Laura Muiña Rodríguez,"Polígono Norte, C/ Los Olivos, 54",48920,Santander,Spain,,Spain,EUR,90743251A,ES0800810356160001444852,BASKES2B,,,Atlas Credit Union,ES,Suppliers,,,,,
B99161697,Laura Muiña Rodríguez,"Calle Cristóbal Colón, 86-88, Planta 1ª",50198,LISBON,Spain,,Spain,EUR,P57289461,ES0821000814010201168919,BASKES2B,,,Atlas Credit Union,ES,Suppliers,,,,,
ESB87396818,CESTALIA.NET,"Calle Cristóbal Colón, 86-88, Planta 1ª",8008,Granada,Spain,,Spain,EUR,C98172345,ES0821000814010201168919,BASKES2B,,,Prime Bank Group,ES,Suppliers,,,,,
ESB87396818,CESTALIA.NET,"Av. del Parque, Nº 89, 6",8008,Granada,Spain,,Spain,EUR,C98172345,ES1021008668240200020978,BASKES2B,,,Prime Bank Group,ES,Suppliers,,,,,
